LocalDate,LocalTime,TotalCarriagewayFlow
2016-06-07,18:44:00,473
2016-06-07,18:59:00,427
2016-06-07,19:14:00,387
2016-06-07,19:29:00,352
2016-06-07,19:44:00,416
2016-06-07,19:59:00,376
2016-06-07,20:14:00,358
2016-06-07,20:29:00,359
2016-06-07,20:44:00,291
2016-06-07,20:59:00,265
2016-06-07,21:14:00,254
2016-06-07,21:29:00,238
2016-06-07,21:44:00,290
2016-06-07,21:59:00,276
2016-06-07,22:14:00,298
2016-06-07,22:29:00,214
2016-06-07,22:44:00,229
2016-06-07,22:59:00,140
2016-06-07,23:14:00,145
2016-06-07,23:29:00,165
2016-06-07,23:44:00,116
2016-06-07,23:59:00,112
2016-06-08,00:14:00,126
2016-06-08,00:29:00,163
2016-06-08,00:44:00,136
2016-06-08,00:59:00,122
2016-06-08,01:14:00,143
2016-06-08,01:29:00,114
2016-06-08,01:44:00,70
2016-06-08,01:59:00,55
2016-06-08,02:14:00,77
2016-06-08,02:29:00,71
2016-06-08,02:44:00,101
2016-06-08,02:59:00,66
2016-06-08,03:14:00,99
2016-06-08,03:29:00,55
2016-06-08,03:44:00,60
2016-06-08,03:59:00,71
2016-06-08,04:14:00,97
2016-06-08,04:29:00,102
2016-06-08,04:44:00,140
2016-06-08,04:59:00,158
2016-06-08,05:14:00,213
2016-06-08,05:29:00,306
2016-06-08,05:44:00,456
2016-06-08,05:59:00,495
2016-06-08,06:14:00,612
2016-06-08,06:29:00,590
2016-06-08,06:44:00,466
2016-06-08,06:59:00,493
2016-06-08,07:14:00,513
2016-06-08,07:29:00,513
2016-06-08,07:44:00,495
2016-06-08,07:59:00,527
2016-06-08,08:14:00,639
2016-06-08,08:29:00,565
2016-06-08,08:44:00,597
2016-06-08,08:59:00,463
2016-06-08,09:14:00,449
2016-06-08,09:29:00,439
2016-06-08,09:44:00,456
2016-06-08,09:59:00,395
2016-06-08,10:14:00,363
2016-06-08,10:29:00,365
2016-06-08,10:44:00,326
2016-06-08,10:59:00,334
2016-06-08,11:14:00,309
2016-06-08,11:29:00,350
2016-06-08,11:44:00,335
2016-06-08,11:59:00,321
2016-06-08,12:14:00,358
2016-06-08,12:29:00,395
2016-06-08,12:44:00,408
2016-06-08,12:59:00,393
2016-06-08,13:14:00,451
2016-06-08,13:29:00,447
2016-06-08,13:44:00,452
2016-06-08,13:59:00,442
2016-06-08,14:14:00,524
2016-06-08,14:29:00,440
2016-06-08,14:44:00,447
